Question,Intent
I want to know What are the features of B.Tech fees?,fees
Can you please What courses are offered in wifi?,hostel
Can you please Give me details of tuition fee,fees
Kindly Hostel fees for ac room students?,hostel
Kindly Can you explain about placement?,placement
Give me information about canteen at NIET,infrastructure
I want to know Duration of Civil Engineering course?,civil_courses
Can you please Career opportunities in hostel facilities,hostel
Can you explain about admission process?,admissions
Kindly Does NIET have boys hostel?,hostel
Can you please Give details about MCA fees,fees
Kindly Can you explain about boys hostel?,hostel
Kindly Give me details of MCA fees,fees
How is M.Tech fees at NIET?,fees
Please Placement details for tuition fee,fees
Can you please What are the subjects in placement?,placement
I want to know What labs are available for Data Science students?,ai_courses
What is the syllabus for admission process?,admissions
Can you please How is the sports facilities at NIET?,infrastructure
Kindly What is the syllabus for tuition fee?,fees
Can you please Career opportunities in Civil department,civil_courses
Can you please Is gym free for students?,infrastructure
I want to know Hostel fees for MCA fees students?,fees
What is Artificial Intelligence?,ai_courses
I want to know Duration of Data Science course?,ai_courses
Kindly Eligibility for companies?,placement
Give details about medical facilities,infrastructure
Please Is campus available on campus?,infrastructure
Kindly Career opportunities in admission process,admissions
Kindly Is Mechanical course available at NIET?,mechanical_courses
Can you please Hostel fees for admission students?,admissions
Kindly What services are included in gym?,infrastructure
Kindly Does NIET offer Data Science?,ai_courses
Please How is the ac room at NIET?,hostel
Kindly Career opportunities in Civil branch,civil_courses
Kindly Duration of Computer Science course?,cse_courses
Can you please Can I apply for admission?,admissions
I want to know Placement details for Electrical department,electrical_courses
Please Give me details of hostel fees,hostel
Please Duration of boys hostel course?,hostel
Kindly Does NIET offer gym?,infrastructure
Please Give details about MBA fees,fees
Please Tell me about Mechanical Engineering,mechanical_courses
Provide some information on JEE admission,admissions
Kindly Duration of MBA fees course?,fees
Kindly What are the subjects in Data Science?,ai_courses
Give me information about medical facilities at NIET,infrastructure
I want to know Hostel fees for internship students?,placement
Please Give me details of hostel,hostel
I want to know Duration of Civil branch course?,civil_courses
Kindly Give me details of hostel fees,hostel
I want to know Fees for B.Tech fees program?,fees
What is the syllabus for hostel?,hostel
I want to know Tell me about gym,infrastructure
I want to know What are the subjects in Electrical Engineering?,electrical_courses
I want to know Tell me about average package,placement
Kindly What are the subjects in internship?,placement
Please Career opportunities in Electrical course,electrical_courses
I want to know Is mess available at NIET?,hostel
Kindly Give details about ac room,hostel
Please Provide some information on Electrical department,electrical_courses
Please Eligibility for girls hostel?,hostel
Please How is M.Tech fees at NIET?,fees
Can you please How is Artificial Intelligence at NIET?,ai_courses
Kindly Is wifi free for students?,hostel
Career opportunities in wifi,infrastructure
Please Give me details of hostel facilities,hostel
Please What is the syllabus for Machine Learning?,ai_courses
I want to know Provide some information on JEE admission,admissions
Kindly Give me details of Mechanical department,mechanical_courses
Kindly Career opportunities in sports facilities,infrastructure
I want to know Is Machine Learning available at NIET?,ai_courses
Can you please What courses are offered in Civil department?,civil_courses
Please Duration of gym course?,infrastructure
Kindly How is the boys hostel at NIET?,hostel
Kindly Can I apply for sports facilities?,infrastructure
Kindly Give me details of companies,placement
Please What is the syllabus for Civil department?,civil_courses
Kindly Fees for mess program?,hostel
I want to know Placement details for Computer Science,cse_courses
Please Provide some information on Civil course,civil_courses
Kindly Give me details of installment payment,fees
Please What labs are available for Electrical department students?,electrical_courses
Duration of B.Tech fees course?,fees
Kindly Hostel fees for Electrical Engineering students?,electrical_courses
Please Give details about mess,hostel
What courses are offered in boys hostel?,hostel
Can you please Fees for Computer Science program?,cse_courses
I want to know Give me details of Electrical course,electrical_courses
I want to know Duration of Electrical course course?,electrical_courses
What labs are available for Data Science students?,ai_courses
I want to know Tell me about mess,hostel
Can you please What are the subjects in gym?,infrastructure
Can you please Give details about boys hostel,hostel
Please Eligibility for Civil Engineering?,civil_courses
Can you please Career opportunities in Electrical branch,electrical_courses
Give details about Mechanical branch,mechanical_courses
Please Give details about hostel,hostel
I want to know Can you explain about Machine Learning?,ai_courses
I want to know Provide some information on internship,placement
I want to know Can I apply for tuition fee?,fees
I want to know Can you explain about hostel?,hostel
Kindly Tell me about CS branch,cse_courses
What is the syllabus for AI program?,ai_courses
Please Eligibility for JEE admission?,admissions
Kindly Does hostel provide hostel?,hostel
Can you please Eligibility for Artificial Intelligence?,ai_courses
